№,"Авторы (Фамилия, инициалы) пример: Kononenko V.V., Образцова Е.Д.","Название статьи (без кавычек) если статья в русскоязычном журнале, но индексируется в WoS, указывайте все данные для англоязычной версии WoS.",Журнал пример: Фундаментальные проблемы радиоэлектронного приборостроения,"том , номер (в круглых скобках), номер первой страницы, год (в круглых скобках) пример: 16 (3) 91 (2016)",DOI в формате: https://doi.org/10.1038/srep22101,"Квартиль WoS/квартиль Scopus/РИНЦ (квартиль только по данным WoS! Если статья входит в WoS, но без квартиля: нет Q. Укажите только одно значение Q. Если статья входит в ядро РИНЦ и не входит в WoS: РИНЦ) примеры: Q1, Q2, Q3, Q4, нет Q, РИНЦ",Ссылка на статью в WoS,Ссылка на статью в ядре РИНЦ,"Отдел (ОСПЯ, ОЛФ, ОТИАМ)","Зав. Лабораторией (только ИОФ РАН, другие институты указывать не надо)",Номер темы ФАНО (Парус 8)
1,"K.Kaldvee, A.Nefedova, S.Fedorenko, A.Vanetsev, E.Orlovskaya, L.Puust, M.Pärs, I.Sildos, A.Ryabova, Yu.Orlovskii",Approaches to contactless optical thermometer in the NIR spectral range based on Nd3+ doped crystalline nanoparticles,Journal of Luminescence,183 478 (2017),https://doi.org/10.1016/j.jlumin.2016.11.061,Q2/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=9&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
2,"A.M. Pak, J.A. Ermakova, S.V. Kuznetsov, A.V. Ryabova, D.V. Pominova, V.V. Voronov",Efficient visible range SrF2:Yb:Er- and SrF2:Yb:Tm-based up-conversion luminophores,Journal of Fluorine Chemistry,194 16 (2017),https://doi.org/10.1016/j.jfluchem.2016.12.002,Q2/Q2/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=12&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
3,"Osychenko AA, Zalessky AD, Kostrov AN, Ryabova AV, Krivokharchenko AS, Nadtochenko VA.","Femtosecond laser surgery of two-cell mouse embryos: effect on viability, development, and tetraploidization",J Biomed Opt. , 22 (12) 1 (2017),https://doi.org/10.1117/1.JBO.22.12.125006,Q2/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=15&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
4,"S. Deyev, G. Proshkina, A. Ryabova, F. Tavanti, M.C. Menziani, G. Eidelshtein, G. Avishai, and A. Kotlyar","Synthesis, Characterization, and Selective Delivery of DARPin–Gold Nanoparticle Conjugates to Cancer Cells",Bioconjugate Chem ,28 (10) 2569 (2017),https://doi.org/10.1021/acs.bioconjchem.7b00410,Q1/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=18&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
5,"V. A. Krut’ko,M. G. Komova, D. V. Pominova","New, thermally stable Gd11(GeO4)(PO4)3O10-based upconversion phosphors",Inorganic Materials,53 (9) 950 (2017),https://doi.org/10.1134/S0020168517090114,Q2/Q2/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=77&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
6,"P.P. Fedorov , A.A. Luginina, S.V. Kuznetsov, V.V. Voronov, A.A. Lyapin, P.A. Ryabochkina, M.V. Chernov, M.N. Mayakova, D.V. Pominova, O.V. Uvarov, A.E. Baranchikov, V.K. Ivanov, A.A. Pynenkov, K.N. Nishchev",Preparation and properties of methylcellulose/nanocellulose/СаF2:Но polymer-inorganic composite films for two-micron radiation visualizers,Journal of Fluorine Chemistry,202 9 (2017) ,https://doi.org/10.1016/j.jfluchem.2017.08.012,Q2/Q2/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=84&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
7,"Krut’ko VA, Komova MG, Pominova DV.",Combustion synthesis of germanium phosphates Gd11–x–yYbxEryGeP3O26 and their luminescence properties,Russ J Inorg Chem,62 (12) 1558 (2017),https://doi.org/10.1134/S0036023617120129,Q4/Q3/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=91&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
8,"Proshkina GM, Kiseleva DV, Shilova ON, Ryabova AV, Shramova EI, Stremovskiy OA, Deyev SM.",Bifunctional Toxin DARP-LoPE Based on the HER2-Specific Innovative Module of a Non-Immunoglobulin Scaffold as a Promising Agent for Theranostics,Mol Biol (Mosk),51 (6) 997 (2017),https://doi.org/10.7868/S0026898417060118,нет Q/Q4/ ядро РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=4&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,https://elibrary.ru/item.asp?id=30506646,ОСПЯ,Лощенов В.Б.,0024-2018-0035
9,"З.Н. Абдульвапова, П.В. Грачев, Е.В. Артемова, Г.Р. Галстян, О.Н. Бондаренко, А.М. Горбачева, К.Г. Линьков, В.Б. Лощенов",Оценка состояния кровотока нижних конечностей у пациентов с сахарным диабетом методом флуоресцентной ангиографии в ближнем инфракрасном диапазоне,Biomedical Photonics,6 (1) 4 (2017),https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021229516&partnerID=40&md5=cf470019e37c2a12e53e519509770cf7,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
10,"Фаррахова Д.С., Яковец М.В., Лощенов В.Б., Bolotine L.N., Зорин В.П.",Исследование распределения хлориновых фотосенсибилизаторов в двухмерных и трехмерных клеточных культурах,Biomedical Photonics,6 (2) 4 (2017),https://doi.org/10.24931/2413-9432-2017-6-2-4-11,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
11,"Maklygina Yu. S., Borodkin A.V., Yusubalieva G. M., Ryabova A.V., Pominova D.V., Lukyanets E.A., Goryainov S. A., Potapov A. A., Loshchenov V.B.",The development of neuroscaffold for the glioblastoma therapy,Biomedical Photonics,6 (4) 13 (2017),https://doi.org/10.24931/2413-9432-2017-6-4-13-19,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
12,"Меерович Г.А., Ахлюстина Е.В., Тиганова И.Г., Панов А.В., Тюкова В.С., Толордава Э.Р., Алексеева Н.В., Линьков К.Г., Романова Ю.М., Грин М.А., Миронов А.Ф., Лощенов В.Б., Каприн А.Д., Филоненко Е.В.",Исследование фотосенсибилизатора для антибактериальной фотодинамической терапии на основе циклодекстриновой композиции метилового эфира 133-N-(N-метилникотинил)бактериопурпуринимида,Biomedical Photonics,6 (3) 16 (2017),https://doi.org/10.24931/2413-9432-2017-6-3-16-32,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
13,"Тиганова И.Г., Макарова Е.А., Меерович Г.А., Алексеева Н.В., Толордава Э.Р., Жижимова Ю.С., Лукьянец Е.А., Романова Ю.М.",Фотодинамическая инактивация патогенных бактерий в биопленках с использованием новых синтетических бактериохлоринов,Biomedical Photonics,6 (4) 27 (2017),https://doi.org/10.24931/2413-9432-2017-6-4-27-36,нет в Wos / Q3 / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
14,"Ширяев А.А., Мусаев Г.Х., Лощенов М.В., Бородкин А.В., Левкин В.В., Охотникова Н.Л., Волков В.В., Лощенов В.Б., Макаров В.И., Ветшев С.П., Булгин Д.В.","Внутрипротоковая видеофлуоресцентная диагностика и комбинированное минимально инвазивное лечение холангиоцеллюлярного рака, осложненного механической желтухой: первый опыт в России",Анналы хирургической гепатологии,22 (1) 71 (2017),,нет в Wos / нет в Scopus / ядро РИНЦ,,https://elibrary.ru/item.asp?id=28868030,ОСПЯ,Лощенов В.Б.,0024-2018-0035
15,"СЮ Петров, АА Антонов, АС Макарова, ТА Савельева, ВБ Лощенов",Влияние типа конъюнктивального разреза при первичной синустрабекулэктомии на метаболизм кислорода в зоне операции и ее гипотензивную эффективность,Национальный журнал глаукома,16 (1) 64 (2017),,нет в Wos / нет в Scopus / не ядро РИНЦ,,https://elibrary.ru/item.asp?id=28840991,ОСПЯ,Лощенов В.Б.,0024-2018-0035
16,"Г.А. Меерович, Л.М. Борисова, А.П. Будько, М.П. Киселева, Л.Л. Николаева, И.Г. Меерович, А.В. Ланцова, С.В. Чернова, Н.А. Оборотова",Исследование уровня и селективности накопления липосомальной формы фотосенсибилизатора тетра-3-фенилтиофталоцианина гидроксиалюминия на опухолевых моделях мышей при разных способах перевивки,Российский биотерапевтический журнал,16 (4) 73 (2017),https://doi.org/10.17650/1726-9784-2017-16-4-74-79,нет в Wos / нет в Scopus / ядро РИНЦ,,https://elibrary.ru/item.asp?id=30539097,ОСПЯ,Лощенов В.Б.,0024-2018-0035
17,"Walter Jane,  Loshchenov Maxim,  Zhilkin Vladimir,  Peake Rachel,  Stone Jennifer,  Lilge Lothar ",Optical pre-screening in breast screening programs: Can we identify women who benefit most from limited mammography resources?,Proceedings SPIE (International Conference on Biophotonics V),10340 1034004 (2017),https://doi.org/10.1117/12.2268978,нет Q/Q4/ ядро РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=94&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,https://elibrary.ru/item.asp?id=31019779,ОСПЯ,Лощенов В.Б.,0024-2018-0035
18,"Савельева Т.А., Осьмаков И.А, Сулейманов Э.А., Урлова А.Н., Каприн А.Д., Филоненко Е.В., Лощенов В.Б.",Метод мониторинга световой дозы во время фотодинамической терапии с использованием многоканального волоконно-оптического датчика,Лазерная медицина,21 (4) 56 (2017),УДК 616-006.81,нет в Wos / нет в Scopus / ядро РИНЦ,,https://elibrary.ru/item.asp?id=32555704,ОСПЯ,Лощенов В.Б.,0024-2018-0035
19,"N. Pustogarov, D. Panteleev, S.A. Goryaynov, A.V. Ryabova, E.Y. Rybalkina, A. Revishchin, A.A. Potapov, G. Pavlova",Hiding in the Shadows: CPOX Expression and 5-ALA Induced Fluorescence in Human Glioma Cells,Mol Neurobiol ,54 5699 (2017) ,https://doi.org/10.1007/s12035-016-0109-7,Q1/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=98&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
20,"V.S. Sedov, S.V. Kuznetsov, V.G. Ralchenko, M.N. Mayakova, V.S. Krivobok, S.S. Savin, K.P. Zhuravlev, A.K. Martyanov, I.D. Romanishkin, A.A. Khomich, P.P. Fedorov, V.I. Konov.",Diamond-EuF3 nanocomposites with bright orange photoluminescence,Diamond & Related Materials,72 47 (2017),https://doi.org/10.1016/j.diamond.2016.12.022,Q1/Q1/РИНЦ,http://apps.webofknowledge.com/full_record.do?product=UA&search_mode=GeneralSearch&qid=103&SID=F48X7O2SDkh5pIfMa2A&page=1&doc=1,,,,
21,"Blondel Walter, Rakotomanga Prisca, Soussen Charles, Daul Christian, Khairallah Grégoire, Marchal Frédéric, Amouroux Marine, Delconte Alain, Kholodtsova Maria, Loschenov Viktor",Overview on inverse problem solving techniques to estimate optical properties from fibered spectroscopic devices,"2nd International school for young scientists “Physics, Engineering and Technologies for Biomedicine”, Oct 2017",https://hal.archives-ouvertes.fr/hal-01637674,,нет в Wos / нет в Scopus / нет в РИНЦ,,,ОСПЯ,Лощенов В.Б.,0024-2018-0035
